carat,cut,color,clarity,depth,table,price
1.14,5,4,6,61.0,56.0,9013
0.76,5,3,4,62.7,57.0,2692
0.84,5,4,5,61.4,56.0,4372
1.55,5,3,5,62.0,57.0,13665
0.3,5,4,2,61.9,57.0,422
0.4,5,5,6,62.4,56.0,1088
1.52,1,1,5,65.4,58.0,7186
1.13,5,5,3,59.7,57.0,5342
0.41,5,6,7,61.9,55.0,1367
0.24,3,5,6,62.0,58.0,552
0.81,5,6,3,61.9,55.0,3913
1.2,3,2,3,63.1,61.0,4301
1.24,5,6,4,62.0,57.0,9240
1.0,3,7,4,63.1,59.0,6440
0.51,3,4,3,61.9,57.0,1261
0.38,5,2,5,62.3,53.4,703
0.46,5,6,7,62.6,57.0,1661
0.51,5,7,5,60.7,57.0,1826
0.35,3,3,3,60.0,61.0,491
0.3,3,4,6,63.2,57.0,878
0.35,3,5,2,62.8,55.0,460
0.4,3,6,3,62.0,61.0,687
1.2,3,5,4,62.9,55.0,8454
0.41,3,6,7,61.2,62.0,1184
1.02,3,7,3,62.8,56.0,6047
0.3,4,3,3,62.9,58.0,540
0.4,5,6,4,61.9,54.0,1020
1.07,5,3,2,59.2,57.0,4314
1.02,4,3,4,61.0,60.0,4958
1.22,4,5,4,59.8,59.0,8417
0.91,4,6,5,62.9,56.0,5228
0.54,5,6,3,61.5,56.0,1720
0.51,3,6,4,63.3,55.0,1638
2.03,3,2,4,59.9,59.0,16422
0.32,4,3,4,60.7,58.0,505
1.5,3,1,6,63.3,57.0,8427
1.21,4,1,5,61.0,60.0,4675
0.27,5,4,4,61.5,56.0,490
0.3,5,6,6,61.9,57.0,1013
1.01,2,3,2,64.1,56.0,3111
0.46,3,6,4,62.6,58.0,1245
0.27,3,7,5,59.9,58.0,470
1.0,4,6,5,63.0,60.0,7096
0.31,5,4,4,62.0,57.0,698
1.02,5,6,2,62.1,55.0,4798
0.4,2,6,2,64.2,57.0,798
0.5,5,4,6,62.2,56.0,1760
0.3,4,5,4,62.8,58.0,776
0.8,2,4,2,64.2,55.0,2246
2.01,3,3,2,63.1,59.0,10184
0.3,3,2,2,63.3,56.0,450
0.7,3,3,2,63.4,55.0,2094
0.44,3,6,5,59.7,59.0,1090
0.55,5,6,3,62.3,56.0,1551
1.01,5,4,6,62.0,58.0,7597
0.54,3,7,5,63.0,54.0,2016
0.53,3,4,5,60.9,56.0,1636
0.35,5,6,3,62.3,56.0,614
0.71,5,6,3,60.5,56.0,3527
0.5,3,1,2,60.7,57.0,947
0.42,4,4,7,59.8,58.0,1235
0.54,5,3,7,61.1,57.0,1846
0.7,2,2,3,58.5,61.0,2276
2.22,3,1,2,61.2,63.0,10662
1.11,5,4,6,61.8,57.0,8858
0.32,5,3,4,62.0,54.0,523
1.01,4,4,5,62.7,58.0,6221
1.2,2,4,3,63.5,60.0,4828
1.05,3,6,3,59.7,57.0,6224
0.55,4,6,4,61.1,58.0,1928
0.23,3,6,6,63.0,58.0,505
0.7,5,3,4,62.8,55.0,2607
1.2,3,6,3,62.6,58.0,6098
0.41,4,5,5,61.1,58.0,1076
1.04,5,2,4,61.5,57.0,5105
0.71,3,5,4,61.3,56.0,2709
1.56,4,1,5,61.1,59.0,8476
1.27,3,2,3,63.0,60.0,6654
0.36,5,6,4,62.1,55.0,1013
2.1,4,1,3,62.9,58.0,13930
0.25,3,6,6,62.0,56.0,560
1.53,4,4,5,60.2,59.0,13119
0.75,4,2,3,62.7,61.0,2142
0.7,1,5,2,58.2,66.0,1920
0.93,3,5,3,59.8,58.0,4256
1.01,4,6,2,60.6,58.0,4118
